code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
TRV,Travelers Companies (The),core,Property & Casualty Insurance,金融,3.261,1.37,105881359,32468784,0.145,0.122,+0.022,386.0,-1.97
COP,ConocoPhillips,core,Oil & Gas Exploration & Production,エネルギー,3.243,3.01,115424653,35596618,0.158,0.110,+0.048,116.8,+0.80
HII,Huntington Ingalls Industries,core,Aerospace & Defense,資本財,3.236,1.15,33535837,10362498,0.046,0.038,+0.008,321.8,+9.35
ECHO,EchoStar,core,Wireless Telecommunication Services,コミュニケーション・サービス,3.228,1.28,77350239,23959194,0.106,0.088,+0.017,87.0,+2.75
CL,Colgate-Palmolive,core,Household Products,生活必需品,3.228,1.98,74713797,23146936,0.102,0.075,+0.027,93.0,-1.11
FIG,"Figma, Inc.",hot,,不明,3.228,1.14,107492906,33303101,0.147,0.117,+0.030,24.0,+2.63
DOW,Dow Inc.,core,Commodity Chemicals,素材,3.225,2.12,47359485,14685350,0.065,0.047,+0.018,30.3,+4.36
GPI,"Group 1 Automotive, Inc.",hot,,不明,3.217,1.55,13438845,4177378,0.018,0.013,+0.005,270.4,-20.00
MKC,McCormick & Company,core,Packaged Foods & Meats,生活必需品,3.217,1.32,20875118,6489624,0.029,0.023,+0.005,52.3,+2.99
SNPS,Synopsys,leader,Application Software,情報技術,3.216,1.61,97587617,30340394,0.133,0.104,+0.029,405.9,+2.73
JBL,Jabil,core,Electronic Manufacturing Services,情報技術,3.210,2.08,53031362,16520953,0.072,0.052,+0.020,344.7,+14.55
CDNA,"CareDx, Inc.",hot,,不明,3.205,1.15,9734481,3037318,0.013,0.011,+0.002,44.8,+23.70
CLX,Clorox,core,Household Products,生活必需品,3.204,1.32,42634164,13307624,0.058,0.048,+0.010,105.6,+6.89
MET,MetLife,core,Life & Health Insurance,金融,3.200,2.12,66145091,20671759,0.090,0.066,+0.024,100.0,+4.36
DXCM,Dexcom,leader,Health Care Equipment,ヘルスケア,3.191,1.10,67670699,21208114,0.092,0.082,+0.011,83.0,+11.66
WAB,Wabtec,core,Construction Machinery & Heavy Transportation Equipment,資本財,3.182,1.85,35953098,11300062,0.049,0.037,+0.012,295.2,-1.36
NRG,NRG Energy,core,Independent Power Producers & Energy Traders,公益事業,3.173,0.56,59492001,18749818,0.081,0.089,-0.008,119.0,-10.79
APD,Air Products,core,Industrial Gases,素材,3.172,0.76,39431874,12430061,0.054,0.050,+0.004,299.9,+2.09
COIN,Coinbase,core,Financial Exchanges & Data,金融,3.160,1.08,177485226,56168075,0.242,0.216,+0.026,145.4,-10.13
MTD,Mettler Toledo,core,Life Sciences Tools & Services,ヘルスケア,3.154,1.77,38793244,12299890,0.053,0.040,+0.013,1421.7,+4.38
XOM,ExxonMobil,core,Integrated Oil & Gas,エネルギー,3.153,2.12,303180756,96164352,0.414,0.302,+0.112,154.8,+0.33
VST,Vistra Corp.,core,Electric Utilities,公益事業,3.152,2.01,139831838,44356746,0.191,0.141,+0.050,141.3,-6.99
HIG,Hartford (The),core,Property & Casualty Insurance,金融,3.150,1.59,29619604,9403872,0.040,0.032,+0.009,144.5,+2.13
APP,AppLovin,leader,Application Software,情報技術,3.148,2.05,536403176,170382729,0.732,0.531,+0.201,335.7,-19.42
BOOT,"Boot Barn Holdings, Inc.",hot,,不明,3.142,1.32,22002785,7002970,0.030,0.025,+0.005,164.0,+4.30
JOBY,"Joby Aviation, Inc.",hot,,不明,3.140,3.66,47855764,15238698,0.065,0.044,+0.021,8.2,+15.06
ICE,Intercontinental Exchange,core,Financial Exchanges & Data,金融,3.129,1.68,106194300,33944099,0.145,0.112,+0.033,149.8,+0.87
HAL,Halliburton,core,Oil & Gas Equipment & Services,エネルギー,3.127,1.78,45057765,14408518,0.062,0.048,+0.014,32.5,+1.15
FTV,Fortive,core,Industrial Machinery & Supplies & Components,資本財,3.125,1.02,25459950,8146171,0.035,0.032,+0.003,60.9,-3.87
FIS,Fidelity National Information Services,core,Transaction & Payment Processing Services,金融,3.125,1.22,48760711,15603121,0.067,0.057,+0.010,42.8,-2.40
LQDA,Liquidia Corporation,hot,,不明,3.123,2.03,14209497,4550160,0.019,0.015,+0.005,89.5,+4.65
MS,Morgan Stanley,core,Investment Banking & Brokerage,金融,3.122,1.45,158624174,50815053,0.217,0.172,+0.044,213.8,+1.36
DECK,Deckers Brands,core,Footwear,一般消費財,3.107,1.31,25564373,8227390,0.035,0.029,+0.006,97.9,-1.84
BF-B,Brown–Forman,core,Distillers & Vintners,生活必需品,3.104,0.77,8335655,2685049,0.011,0.011,+0.000,28.2,+1.25
SYF,Synchrony Financial,core,Consumer Finance,金融,3.104,1.87,33546838,10809229,0.046,0.034,+0.012,78.7,+4.12
CRM,Salesforce,core,Application Software,情報技術,3.094,1.35,287617500,92958898,0.393,0.345,+0.048,186.8,+4.26
CRWD,CrowdStrike,leader,Systems Software,情報技術,3.084,2.03,222455947,72138165,0.304,0.235,+0.069,207.4,+14.03
JBS,JBS N.V.,hot,,不明,3.081,1.12,10478620,3401185,0.014,0.013,+0.002,13.7,-2.56
MESO,Mesoblast Limited,hot,,不明,3.080,2.06,445794,144734,0.001,0.000,+0.000,15.6,+8.48
TMO,Thermo Fisher Scientific,core,Life Sciences Tools & Services,ヘルスケア,3.076,1.81,162158934,52725454,0.221,0.172,+0.049,580.0,+0.77
GEHC,GE HealthCare,leader,Health Care Equipment,ヘルスケア,3.068,0.72,49701411,16197479,0.068,0.067,+0.001,70.3,+13.16
PSX,Phillips 66,core,Oil & Gas Refining & Marketing,エネルギー,3.067,2.21,69357512,22613134,0.095,0.071,+0.023,205.4,-1.26
GL,Globe Life,core,Life & Health Insurance,金融,3.063,1.46,14557795,4752154,0.020,0.017,+0.003,186.0,+5.74
EME,Emcor,core,Construction & Engineering,資本財,3.061,1.70,61521188,20095790,0.084,0.065,+0.019,808.4,+11.48
ALAB,"Astera Labs, Inc. Common Stock",leader,,不明,3.061,1.40,265766288,86813767,0.363,0.305,+0.058,331.4,+25.63
AMT,American Tower,core,Telecom Tower REITs,不動産,3.055,0.99,77174473,25264052,0.105,0.098,+0.007,171.2,+0.50
RTX,RTX Corporation,core,Aerospace & Defense,資本財,3.042,1.74,140883471,46313626,0.192,0.156,+0.037,223.3,+1.20
SLB,Schlumberger,core,Oil & Gas Equipment & Services,エネルギー,3.028,2.88,98419481,32502565,0.134,0.093,+0.041,51.6,-0.06
SNA,Snap-on,core,Industrial Machinery & Supplies & Components,資本財,3.025,1.41,18256557,6036007,0.025,0.021,+0.004,414.7,+1.07
ALGN,Align Technology,core,Health Care Supplies,ヘルスケア,3.021,1.73,27604768,9136845,0.038,0.028,+0.009,169.1,-0.49
HAWK,"HawkEye 360, Inc.",hot,,不明,3.021,1.99,3171177,1049622,0.004,0.003,+0.001,24.7,+26.60
XEL,Xcel Energy,leader,Multi-Utilities,公益事業,3.015,1.31,57934589,19214180,0.079,0.065,+0.014,77.0,-5.53
