code,name,bucket,sector,group
GD,General Dynamics,core,Aerospace & Defense,資本財
GDDY,GoDaddy,core,Internet Services & Infrastructure,情報技術
GE,GE Aerospace,core,Aerospace & Defense,資本財
GEN,Gen Digital,core,Systems Software,情報技術
GEV,GE Vernova,core,Heavy Electrical Equipment,資本財
GIS,General Mills,core,Packaged Foods & Meats,生活必需品
GL,Globe Life,core,Life & Health Insurance,金融
GLW,Corning Inc.,core,Electronic Components,情報技術
GM,General Motors,core,Automobile Manufacturers,一般消費財
GNRC,Generac,core,Heavy Electrical Equipment,資本財
GPC,Genuine Parts Company,core,Distributors,一般消費財
GPN,Global Payments,core,Transaction & Payment Processing Services,金融
GRMN,Garmin,core,Consumer Electronics,一般消費財
GS,Goldman Sachs,core,Investment Banking & Brokerage,金融
GWW,W. W. Grainger,core,Industrial Machinery & Supplies & Components,資本財
HAL,Halliburton,core,Oil & Gas Equipment & Services,エネルギー
HAS,Hasbro,core,Leisure Products,一般消費財
HBAN,Huntington Bancshares,core,Regional Banks,金融
HCA,HCA Healthcare,core,Health Care Facilities,ヘルスケア
HD,Home Depot (The),core,Home Improvement Retail,一般消費財
HIG,Hartford (The),core,Property & Casualty Insurance,金融
HII,Huntington Ingalls Industries,core,Aerospace & Defense,資本財
HLT,Hilton Worldwide,core,"Hotels, Resorts & Cruise Lines",一般消費財
HOOD,Robinhood Markets,core,Investment Banking & Brokerage,金融
HPE,Hewlett Packard Enterprise,core,"Technology Hardware, Storage & Peripherals",情報技術
HPQ,HP Inc.,core,"Technology Hardware, Storage & Peripherals",情報技術
HRL,Hormel Foods,core,Packaged Foods & Meats,生活必需品
HSIC,Henry Schein,core,Health Care Distributors,ヘルスケア
HST,Host Hotels & Resorts,core,Hotel & Resort REITs,不動産
HSY,Hershey Company (The),core,Packaged Foods & Meats,生活必需品
HUBB,Hubbell Incorporated,core,Industrial Machinery & Supplies & Components,資本財
HUM,Humana,core,Managed Health Care,ヘルスケア
HWM,Howmet Aerospace,core,Aerospace & Defense,資本財
IBKR,Interactive Brokers,core,Investment Banking & Brokerage,金融
IBM,IBM,core,IT Consulting & Other Services,情報技術
ICE,Intercontinental Exchange,core,Financial Exchanges & Data,金融
IEX,IDEX Corporation,core,Industrial Machinery & Supplies & Components,資本財
IFF,International Flavors & Fragrances,core,Specialty Chemicals,素材
INCY,Incyte,core,Biotechnology,ヘルスケア
INVH,Invitation Homes,core,Single-Family Residential REITs,不動産
IP,International Paper,core,Paper & Plastic Packaging Products & Materials,素材
IQV,IQVIA,core,Life Sciences Tools & Services,ヘルスケア
IR,Ingersoll Rand,core,Industrial Machinery & Supplies & Components,資本財
IRM,Iron Mountain,core,Other Specialized REITs,不動産
IT,Gartner,core,IT Consulting & Other Services,情報技術
ITW,Illinois Tool Works,core,Industrial Machinery & Supplies & Components,資本財
IVZ,Invesco,core,Asset Management & Custody Banks,金融
J,Jacobs Solutions,core,Construction & Engineering,資本財
JBHT,J.B. Hunt,core,Cargo Ground Transportation,資本財
JBL,Jabil,core,Electronic Manufacturing Services,情報技術
JCI,Johnson Controls,core,Building Products,資本財
JKHY,Jack Henry & Associates,core,Transaction & Payment Processing Services,金融
JNJ,Johnson & Johnson,core,Pharmaceuticals,ヘルスケア
JPM,JPMorgan Chase,core,Diversified Banks,金融
KEY,KeyCorp,core,Regional Banks,金融
KEYS,Keysight Technologies,core,Electronic Equipment & Instruments,情報技術
KIM,Kimco Realty,core,Retail REITs,不動産
KKR,KKR & Co.,core,Asset Management & Custody Banks,金融
KMB,Kimberly-Clark,core,Household Products,生活必需品
KMI,Kinder Morgan,core,Oil & Gas Storage & Transportation,エネルギー
KO,Coca-Cola Company (The),core,Soft Drinks & Non-alcoholic Beverages,生活必需品
KR,Kroger,core,Food Retail,生活必需品
KVUE,Kenvue,core,Personal Care Products,生活必需品
L,Loews Corporation,core,Multi-line Insurance,金融
LDOS,Leidos,core,Diversified Support Services,資本財
LEN,Lennar,core,Homebuilding,一般消費財
LH,Labcorp,core,Health Care Services,ヘルスケア
LHX,L3Harris,core,Aerospace & Defense,資本財
LII,Lennox International,core,Building Products,資本財
LLY,Lilly (Eli),core,Pharmaceuticals,ヘルスケア
LMT,Lockheed Martin,core,Aerospace & Defense,資本財
LNT,Alliant Energy,core,Electric Utilities,公益事業
LOW,Lowe's,core,Home Improvement Retail,一般消費財
LULU,Lululemon Athletica,core,"Apparel, Accessories & Luxury Goods",一般消費財
LUV,Southwest Airlines,core,Passenger Airlines,資本財
LVS,Las Vegas Sands,core,Casinos & Gaming,一般消費財
LYB,LyondellBasell,core,Specialty Chemicals,素材
LYV,Live Nation Entertainment,core,Movies & Entertainment,コミュニケーション・サービス
MA,Mastercard,core,Transaction & Payment Processing Services,金融
MAA,Mid-America Apartment Communities,core,Multi-Family Residential REITs,不動産
MAS,Masco,core,Building Products,資本財
MCD,McDonald's,core,Restaurants,一般消費財
MCK,McKesson Corporation,core,Health Care Distributors,ヘルスケア
MCO,Moody's Corporation,core,Financial Exchanges & Data,金融
MDT,Medtronic,core,Health Care Equipment,ヘルスケア
MET,MetLife,core,Life & Health Insurance,金融
MGM,MGM Resorts,core,Casinos & Gaming,一般消費財
MKC,McCormick & Company,core,Packaged Foods & Meats,生活必需品
MLM,Martin Marietta Materials,core,Construction Materials,素材
MMM,3M,core,Industrial Conglomerates,資本財
MO,Altria,core,Tobacco,生活必需品
MOS,Mosaic Company (The),core,Fertilizers & Agricultural Chemicals,素材
MPC,Marathon Petroleum,core,Oil & Gas Refining & Marketing,エネルギー
MRK,Merck & Co.,core,Pharmaceuticals,ヘルスケア
MRNA,Moderna,core,Biotechnology,ヘルスケア
MRSH,Marsh McLennan,core,Insurance Brokers,金融
MS,Morgan Stanley,core,Investment Banking & Brokerage,金融
MSCI,MSCI Inc.,core,Financial Exchanges & Data,金融
MSI,Motorola Solutions,core,Communications Equipment,情報技術
MTB,M&T Bank,core,Regional Banks,金融
MTD,Mettler Toledo,core,Life Sciences Tools & Services,ヘルスケア
NCLH,Norwegian Cruise Line Holdings,core,"Hotels, Resorts & Cruise Lines",一般消費財
NDAQ,"Nasdaq, Inc.",core,Financial Exchanges & Data,金融
NDSN,Nordson Corporation,core,Industrial Machinery & Supplies & Components,資本財
NEE,NextEra Energy,core,Multi-Utilities,公益事業
NEM,Newmont,core,Gold,素材
NI,NiSource,core,Multi-Utilities,公益事業
NKE,"Nike, Inc.",core,"Apparel, Accessories & Luxury Goods",一般消費財
NOC,Northrop Grumman,core,Aerospace & Defense,資本財
NOW,ServiceNow,core,Systems Software,情報技術
NRG,NRG Energy,core,Independent Power Producers & Energy Traders,公益事業
NSC,Norfolk Southern,core,Rail Transportation,資本財
NTAP,NetApp,core,"Technology Hardware, Storage & Peripherals",情報技術
NTRS,Northern Trust,core,Asset Management & Custody Banks,金融
