name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
deBridge,Bridge,OP Mainnet;BSC;Ethereum;Linea;Avalanche;Polygon;Solana;Arbitrum;Base;Fantom;Neon;Gnosis;Metis;Sonic;Cronos zkEVM;Abstract;Berachain;Data Network;Hyperliquid L1;Zircuit;Flow;BOB;Mantle;Plume Mainnet;Sophon;Sei;Tron;Plasma;Injective;Monad;Cronos,26767,96120,675168,146.31,-37.31
Validao HYPE Staking,Staking Pool,Hyperliquid L1,26763,179865,755136,6.52,3.62
Circle USYC,RWA,Ethereum,26597,185127,772243,-0.41,0.06
Predict Fun,Prediction Market,BSC,25889,176345,596425,-12.07,28.46
MetaMask Perps,Interface,Hyperliquid L1,25765,181462,908841,-22.26,5.33
Stader,Liquid Staking,BSC;Ethereum;Hedera,25257,88073,406190,-32.22,16.42
Hyperliquid L1,Chain,Hyperliquid L1,25238,172680,1089278,-23.66,-42.55
Venus Core Pool,Lending,BSC;Ethereum;opBNB;Arbitrum;ZKsync Era;Base;OP Mainnet;Unichain,25064,195117,920421,-19.43,-33.72
Apex Omni,Derivatives,Ethereum;Arbitrum,24791,111749,492720,35.03,45.85
Pharaoh DLMM,Dexs,Avalanche,24479,120512,289929,-14.12,262.12
Photon,Trading App,Solana,24132,163181,478203,2.54,75.51
mETH Protocol,Liquid Staking,Ethereum,24017,179994,740932,-56.01,-0.96
nest CL,Dexs,Hyperliquid L1,23457,127754,1011180,23.63,-12.78
Avantis,Derivatives,Base,23111,103957,523098,55.22,19.41
HyperLend Pooled,Lending,Hyperliquid L1,22838,157724,733854,5.26,-3.47
Tornado Cash,Privacy,Gnosis;OP Mainnet;Arbitrum;Avalanche;Polygon;BSC;Ethereum,22736,101387,324896,165.82,137.13
Stakee,Liquid Staking,TON,22716,97945,363311,119.78,147.24
Avant avUSD,Basis Trading,Avalanche,22449,156624,650939,1.24,1.04
AlphaTicks HYPE Staking,Staking Pool,Hyperliquid L1,22317,150012,631060,6.51,3.58
FlowDex HYPE Staking,Staking Pool,Hyperliquid L1,22256,149483,627813,6.51,3.72
BlazeStake,Liquid Staking,Solana,21890,98092,341800,,
TRONSAVE,Services,Tron,21698,109776,786257,29.46,-49.87
K3 Capital,Risk Curators,BSC;Avalanche;BOB;Arbitrum;Ethereum;Unichain;Plasma;Monad,21562,156101,655219,-6.98,0.71
Helius Staked SOL,Liquid Staking,Solana,21469,78921,277350,,
B-Harvest HYPE Staking,Staking Pool,Hyperliquid L1,21034,141621,611064,6.37,3.32
Apostro,Risk Curators,BSC;Base;Ethereum,20253,124422,349575,4.92,35.41
Invo Perps,Interface,Hyperliquid L1,20234,119630,256168,-12.55,67.96
Jupiter Lend,Lending,Solana,20144,664598,2796367,-83.5,-78.28
Lombard Vaults,Onchain Capital Allocator,Ethereum;Base;BSC,19697,137350,633203,4.23,1.24
Lorenzo sUSD1+,Yield,BSC;Ethereum,19577,33170,288379,,
Benqi Staked Avax,Liquid Staking,Avalanche,19260,122163,843324,-0.57,-7.86
Hyperliquid HLP,Derivatives,Hyperliquid L1,19098,107755,579892,-8.31,-6.45
Edgevana,Liquid Staking,Solana,18985,71896,252147,,
Mayan DEX Aggregator,DEX Aggregator,Ethereum;Arbitrum;Avalanche;BSC;Polygon;Solana;Base;OP Mainnet;Sui;Monad;Hyperliquid L1,18958,113223,494095,33.87,8.62
Yearn Finance,Yield Aggregator,Ethereum;Base;Polygon;OP Mainnet;Arbitrum;Katana,18927,136565,703005,-8.37,-42.88
dfdvSOL,Liquid Staking,Solana,18909,71976,263195,,
SUNSwap V3,Dexs,Tron,18734,117839,621553,-6.87,-31.56
LiquidSpirit-Hydromancer-RektGang HYPE Staking,Staking Pool,Hyperliquid L1,18467,124373,519422,6.34,3.27
JagPool Staked SOL,Liquid Staking,Solana,17617,64771,228559,,
Aark Digital,Derivatives,Arbitrum,17565,32483,120724,442.97,252.15
BitFi BTC,Anchor BTC,Hemi;Bitlayer;Ethereum;BSC;Base;CORE;GOAT,17468,379531,1545647,-68.82,-77.88
Hyperbeat-P2P-Hypio HYPE Staking,Staking Pool,Hyperliquid L1,17407,121068,531569,2.7,-0.46
StakeWise V2,Liquid Staking,Ethereum,17086,100377,461611,47.71,20.34
Maestro,Telegram Bot,BSC;Ethereum;Arbitrum;Solana;Base;Tron;Avalanche;Sonic,17036,130576,492034,-25.97,-21.05
PancakeSwap Infinity,Dexs,BSC;Base,16892,114671,621790,-25.94,-65.13
STON.fi,Dexs,TON,16715,68084,394996,74.75,96.39
Cetus CLMM,Dexs,Sui,16633,76496,400426,39.2,16.27
Helio,Payments,Solana;Ethereum;Base;Polygon,16558,40049,185101,124.7,-60.82
KyberSwap Aggregator,DEX Aggregator,Ethereum;Arbitrum;OP Mainnet;ZKsync Era;Polygon;Base;BSC;Linea;Scroll;Avalanche;Fantom;Berachain;Sonic;Unichain;Hyperliquid L1;Plasma;Etherlink;Monad;MegaETH,16433,44636,567881,258.56,-18.91
Hylo Protocol,Dual-Token Stablecoin,Solana,16174,47623,162593,136.63,456.19
Arbitrum,Chain,Arbitrum,16141,118185,429929,-7.03,-29.2
Nest Credit,RWA,Ethereum;BSC;Arbitrum;Plume Mainnet;Plasma;World Chain,15987,84972,326103,19.98,-12.4
ClaimRush,Gamified Mining,Base,15951,51062,368256,3.69,36.64
RISE,Chain,RISE,15802,97536,517036,-11.58,-8.52
Provenance,Chain,Provenance,15646,77203,331912,20.65,7.27
Bloom Trading Bot,Gaming,Solana;BSC;Base,15561,101177,331416,-20.61,-0.55
BounceBit CeDeFi Yield,Basis Trading,BounceBit,15559,104398,116004,-0.15,34.06
Marinade Select,Staking Pool,Solana,15421,97813,359530,4.88,25.28
Gate SOL,Liquid Staking,Solana,15373,56521,200230,,
Bags,Launchpad,Solana,15351,88428,516393,11.42,158.35
moonshot.money,Trading App,Solana,15335,55740,197296,382.23,373.74
Binance Alpha,Launchpad,Ethereum;Base;BSC;Plasma;Sonic;Linea;Avalanche;Arbitrum;Polygon;ZKsync Era;OP Mainnet,15107,100873,595709,-13.45,-6.89
USDD,CDP,Tron;Ethereum;BSC,15021,106036,456447,-0.83,-0.81
Pharaoh V3,Dexs,Avalanche,14938,66335,385408,39.04,1.92
Pendle,Yield,Arbitrum;Ethereum;BSC;OP Mainnet;Mantle;Base;Berachain;Sonic;Hyperliquid L1;Plasma;Monad,14804,466972,891243,-37.74,-51.68
Taiko Swap,Dexs,Taiko,14279,17871,17871,690.2,
HawkFi,Liquidity Manager,Solana,14163,131377,362958,-18.96,85.11
Decibel,Derivatives,Aptos,13982,90178,377863,-48.45,11.11
cap,Lending,Ethereum,13877,64603,411366,41.69,-47.36
Byreal,Dexs,Solana,13825,81908,486013,-14.49,-8.66
NAVI Lending,Lending,Sui,13799,83816,523496,14.19,-6.86
Derive Options,Options,Derive Chain,13679,91605,357466,54.16,32.16
Bitway Earn,Basis Trading,BSC,13515,109899,483927,0.72,-15.43
Fulcrom Perps,Derivatives,Cronos;ZKsync Era;Cronos zkEVM,13465,66944,187509,21.73,33.34
Gains Network,Derivatives,Polygon;Arbitrum;Base;ApeChain;MegaETH,13461,122872,537541,-64.51,-38.43
infiniFi,Yield,Ethereum,13434,95072,435854,-0.7,-10.37
Graphite Protocol,Launchpad,Solana,13412,57807,93596,9.84,1454.11
Meria HYPE Staking,Staking Pool,Hyperliquid L1,13186,88614,382021,6.51,3.63
Liquity V2,CDP,Ethereum,13185,68972,208251,156.12,-4.88
