code,name,bucket,sector
4401,ＡＤＥＫＡ,core,化学
4403,日油,core,化学
4516,日本新薬,core,医薬品
4527,ロート製薬,core,医薬品
4528,小野薬品工業,core,医薬品
4536,参天製薬,core,医薬品
4540,ツムラ,core,医薬品
4544,Ｈ．Ｕ．グループホールディングス,core,サービス業
4587,ペプチドリーム,core,医薬品
4612,日本ペイントホールディングス,core,化学
4613,関西ペイント,core,化学
4626,太陽ホールディングス,core,化学
4631,ＤＩＣ,core,化学
4665,ダスキン,core,サービス業
4666,パーク２４,core,不動産業
4676,フジ・メディア・ホールディングス,core,情報・通信業
4680,ラウンドワン,core,サービス業
4681,リゾートトラスト,core,サービス業
4684,オービック,core,情報・通信業
4716,日本オラクル,core,情報・通信業
4732,ユー・エス・エス,core,サービス業
4733,オービックビジネスコンサルタント,core,情報・通信業
4768,大塚商会,core,情報・通信業
4887,サワイグループホールディングス,core,医薬品
4912,ライオン,core,化学
4922,コーセーホールディングス,core,化学
4927,ポーラ・オルビスホールディングス,core,化学
4967,小林製薬,core,化学
4980,デクセリアルズ,core,化学
5016,ＪＸ金属,core,非鉄金属
5021,コスモエネルギーホールディングス,core,石油・石炭製品
5076,インフロニア・ホールディングス,core,建設業
5105,ＴＯＹＯ　ＴＩＲＥ,core,ゴム製品
5110,住友ゴム工業,core,ゴム製品
5232,住友大阪セメント,core,ガラス・土石製品
5334,日本特殊陶業,core,ガラス・土石製品
5344,ＭＡＲＵＷＡ,core,ガラス・土石製品
5393,ニチアス,core,ガラス・土石製品
5444,大和工業,core,鉄鋼
5463,丸一鋼管,core,鉄鋼
5471,大同特殊鋼,core,鉄鋼
5830,いよぎんホールディングス,core,銀行業
5832,ちゅうぎんフィナンシャルグループ,core,銀行業
5838,楽天銀行,core,銀行業
5844,京都フィナンシャルグループ,core,銀行業
5901,東洋製罐グループホールディングス,core,金属製品
5929,三和ホールディングス,core,金属製品
5938,ＬＩＸＩＬ,core,金属製品
5947,リンナイ,core,金属製品
5991,日本発條,core,金属製品
6005,三浦工業,core,機械
6134,ＦＵＪＩ,core,機械
6136,オーエスジー,core,機械
6141,ＤＭＧ森精機,core,機械
6268,ナブテスコ,core,機械
6269,三井海洋開発,core,機械
6323,ローツェ,core,機械
6368,オルガノ,core,機械
6370,栗田工業,core,機械
6383,ダイフク,core,機械
6417,ＳＡＮＫＹＯ,core,機械
6436,アマノ,core,機械
6448,ブラザー工業,core,電気機器
6457,グローリー,core,機械
6460,セガサミーホールディングス,core,機械
6465,ホシザキ,core,機械
6481,ＴＨＫ,core,機械
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,core,電気機器
6544,ジャパンエレベーターサービスホールディングス,core,サービス業
6586,マキタ,core,機械
6592,マブチモーター,core,電気機器
6632,ＪＶＣケンウッド,core,電気機器
6674,ジーエス・ユアサ　コーポレーション,core,電気機器
6707,サンケン電気,core,電気機器
6728,アルバック,core,電気機器
6754,アンリツ,core,電気機器
6806,ヒロセ電機,core,電気機器
6845,アズビル,core,電気機器
6849,日本光電工業,core,電気機器
6856,堀場製作所,core,電気機器
6869,シスメックス,core,電気機器
6923,スタンレー電気,core,電気機器
6925,ウシオ電機,core,電気機器
6951,日本電子,core,電気機器
6952,カシオ計算機,core,電気機器
6965,浜松ホトニクス,core,電気機器
7003,三井Ｅ＆Ｓ,core,機械
7164,全国保証,core,その他金融業
7167,めぶきフィナンシャルグループ,core,銀行業
7180,九州フィナンシャルグループ,core,銀行業
7181,かんぽ生命保険,core,保険業
7182,ゆうちょ銀行,core,銀行業
7189,西日本フィナンシャルホールディングス,core,銀行業
7240,ＮＯＫ,core,輸送用機器
7259,アイシン,core,輸送用機器
7276,小糸製作所,core,電気機器
7282,豊田合成,core,輸送用機器
7309,シマノ,core,輸送用機器
7313,テイ・エス　テック,core,輸送用機器
7337,ひろぎんホールディングス,core,銀行業
7458,第一興商,core,卸売業
7459,メディパルホールディングス,core,卸売業
7476,アズワン,core,卸売業
7550,ゼンショーホールディングス,core,小売業
7616,コロワイド,core,小売業
7649,スギホールディングス,core,小売業
7701,島津製作所,core,精密機器
7729,東京精密,core,精密機器
7747,朝日インテック,core,精密機器
7846,パイロットコーポレーション,core,その他製品
7867,タカラトミー,core,その他製品
7936,アシックス,core,その他製品
7956,ピジョン,core,その他製品
7984,コクヨ,core,その他製品
7988,ニフコ,core,化学
8012,長瀬産業,core,卸売業
8020,兼松,core,卸売業
8056,ＢＩＰＲＯＧＹ,core,情報・通信業
