code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_yen,baseline_median_yen,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
5711.T,三菱マテリアル,leader,非鉄金属,非鉄金属,0.792,-0.46,354027500,447197350,0.051,0.075,-0.024,3923.0,-8.98
2997.T,(株)ストレージ王,hot,,不明,0.790,-0.28,2005500,2538400,0.000,0.002,-0.002,1337.0,+41.63
6506.T,安川電機,leader,電気機器,電気機器,0.789,-0.46,3090421500,3916250400,0.444,0.692,-0.248,5058.0,-24.12
4613.T,関西ペイント,core,化学,化学,0.786,-0.54,73013350,92883050,0.011,0.015,-0.004,2651.5,-5.22
4206.T,アイカ工業,core,化学,化学,0.786,-0.49,39543000,50338700,0.006,0.008,-0.003,3659.0,-2.06
3197.T,すかいらーくホールディングス,core,小売業,小売業,0.784,-0.60,198994400,253979575,0.029,0.043,-0.014,3057.0,+3.10
4385.T,メルカリ,leader,情報・通信業,情報・通信業,0.782,-0.46,367678700,470017450,0.053,0.082,-0.029,4588.0,+0.07
7453.T,良品計画,leader,小売業,小売業,0.779,-0.37,1325889700,1702334500,0.191,0.304,-0.113,4251.0,+10.36
8729.T,ソニーフィナンシャルグループ,core,保険業,保険業,0.779,-0.63,374864601,481387735,0.054,0.097,-0.043,153.6,+3.50
7701.T,島津製作所,core,精密機器,精密機器,0.770,-0.53,148386800,192592850,0.021,0.032,-0.011,4141.0,+3.47
8267.T,イオン,leader,小売業,小売業,0.755,-0.53,575640350,762604625,0.083,0.121,-0.038,1393.0,-5.04
4680.T,ラウンドワン,core,サービス業,サービス業,0.750,-0.56,174749200,233011775,0.025,0.038,-0.012,1266.0,+0.44
4043.T,トクヤマ,leader,化学,化学,0.747,-0.68,134575800,180202850,0.019,0.029,-0.010,4442.0,-4.27
6526.T,ソシオネクスト,hot,半導体設計(SoC),半導体,0.739,-0.65,1263446250,1709763500,0.182,0.278,-0.097,2253.0,-12.78
9022.T,東海旅客鉄道,leader,陸運業,陸運業,0.734,-0.63,368038400,501414500,0.053,0.075,-0.022,3756.0,+1.93
3349.T,コスモス薬品,core,小売業,小売業,0.730,-0.51,128307500,175827450,0.018,0.030,-0.012,6480.0,-3.01
5706.T,三井金属,leader,非鉄金属,非鉄金属,0.728,-0.68,2062539500,2831604500,0.297,0.448,-0.151,29430.0,-15.41
3778.T,さくらインターネット,hot,データセンタ・GPUクラウド,情報・通信業,0.716,-0.46,94983600,132648850,0.014,0.025,-0.011,2765.0,+0.69
1801.T,大成建設,leader,建設業,建設業,0.710,-0.82,352662500,496535500,0.051,0.074,-0.023,13280.0,-7.84
9449.T,ＧＭＯインターネットグループ,core,情報・通信業,情報・通信業,0.700,-0.61,96251200,137570500,0.014,0.021,-0.008,4016.0,+6.10
6323.T,ローツェ,core,機械,機械,0.696,-0.50,793254900,1139029700,0.114,0.222,-0.108,4385.0,+1.76
9021.T,西日本旅客鉄道,leader,陸運業,陸運業,0.689,-0.60,384525300,557936700,0.055,0.091,-0.036,2990.0,+2.50
2222.T,寿スピリッツ,core,食料品,食料品,0.686,-0.62,47965400,69927350,0.007,0.012,-0.005,2586.0,+1.19
9861.T,吉野家ホールディングス,core,小売業,小売業,0.683,-0.59,113121200,165664050,0.016,0.029,-0.013,3659.0,+9.65
1605.T,ＩＮＰＥＸ,leader,鉱業,鉱業,0.679,-0.75,590457900,870195450,0.085,0.136,-0.051,3382.0,+0.99
2432.T,ディー・エヌ・エー,leader,情報・通信業,情報・通信業,0.659,-0.74,117429800,178094175,0.017,0.029,-0.012,2411.5,-8.72
6925.T,ウシオ電機,core,電気機器,電気機器,0.659,-0.73,57176000,86823350,0.008,0.015,-0.006,3813.0,-11.10
3402.T,東レ,leader,繊維製品,繊維製品,0.653,-0.79,147270000,225401300,0.021,0.033,-0.012,1137.5,-2.23
7211.T,三菱自動車工業,leader,輸送用機器,輸送用機器,0.641,-0.46,239630283,373885113,0.034,0.078,-0.044,379.7,+13.44
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,core,小売業,小売業,0.595,-0.91,410803400,690747650,0.059,0.107,-0.048,5370.0,+10.61
7649.T,スギホールディングス,core,小売業,小売業,0.589,-0.59,107186350,182130600,0.015,0.031,-0.016,2956.0,-9.52
6336.T,(株)石井表記,hot,,不明,0.583,-0.57,12598900,21611450,0.002,0.005,-0.003,1623.0,-5.36
5240.T,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),hot,,不明,0.580,-0.50,25582600,44136650,0.004,0.015,-0.012,171.0,+33.59
4673.T,川崎地質(株),hot,,不明,0.573,-0.36,2618500,4567000,0.000,0.001,-0.001,4360.0,-7.43
5838.T,楽天銀行,core,銀行業,銀行業,0.560,-0.82,226895000,405251650,0.033,0.065,-0.032,5220.0,-11.33
9987.T,スズケン,core,卸売業,卸売業,0.554,-0.93,28290000,51025550,0.004,0.008,-0.004,5145.0,+0.65
5243.T,ｎｏｔｅ(株),hot,,不明,0.542,-0.49,49627000,91485050,0.007,0.027,-0.020,2051.0,-14.93
9854.T,愛眼(株),hot,,不明,0.522,-0.44,1390400,2663350,0.000,0.001,-0.001,290.0,+5.07
4575.T,(株)キャンバス,hot,,不明,0.443,-0.57,6670100,15048000,0.001,0.003,-0.002,706.0,+7.29
472A.T,(株)ミラティブ,hot,,不明,0.438,-0.47,6788800,15486600,0.001,0.004,-0.003,544.0,+17.24
9399.T,ビート・ホールディングス・リミテッド,hot,,不明,0.424,-0.50,1136357,2683097,0.000,0.001,-0.001,13.0,+8.33
6266.T,タツモ(株),hot,,不明,0.406,-0.60,58002500,143031500,0.008,0.031,-0.022,4565.0,+1.00
9941.T,太洋物産(株),hot,,不明,0.378,-0.51,2947300,7788400,0.000,0.002,-0.002,1338.0,-9.84
4833.T,(株)Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,hot,,不明,0.350,-0.50,3849500,11001200,0.001,0.004,-0.003,47.0,+9.30
4372.T,ユミルリンク(株),hot,,不明,0.328,-0.28,130000,395900,0.000,0.000,-0.000,1300.0,+7.53
4424.T,(株)Ａｍａｚｉａ,hot,,不明,0.292,-0.58,12004200,41040250,0.002,0.013,-0.011,294.0,+16.21
5018.T,(株)ＭＯＲＥＳＣＯ,hot,,不明,0.209,-0.59,2011600,9627000,0.000,0.002,-0.002,2020.0,+6.88
4381.T,ビープラッツ(株),hot,,不明,0.209,-0.59,4376800,20979600,0.001,0.004,-0.003,523.0,+190.56
4597.T,ソレイジア・ファーマ(株),hot,,不明,0.197,-0.47,1269100,6435650,0.000,0.012,-0.012,26.0,+4.00
4935.T,(株)リベルタ,hot,,不明,0.186,-0.93,25840100,138762700,0.004,0.030,-0.026,256.0,-13.51
